2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Sides,Fruit Cup,60,0,15,1,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Sides,Kale Crunch Side,170,,,,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Sides,Large Chick-fil-A Waffle Potato Fries®,600,35,65,7,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Sides,Large Mac & Cheese,840,,,,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Sides,Medium Chick-fil-A Waffle Potato Fries®,420,24,45,5,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Sides,Small Mac & Cheese,270,,,,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Sides,Waffle Potato Chips,220,13,25,3,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Sides,Waffle Potato Fries,300,16,36,4,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Sides,Waffle Potato Fries,520,27,62,6,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,10 ct Chick-fil-A Chick-n-Minis,360,13,41,20,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,"Bacon, Egg & Cheese Biscuit",420,23,38,15,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,Buttered Biscuit,290,15,37,4,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,Chick-n-Minis,360,13,41,20,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,"Chicken, Egg & Cheese Biscuit",530,27,45,26,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,Fruit Cup,50,0,13,1,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,Greek Yogurt Parfait,270,9,36,13,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,Hash Brown,270,18,23,3,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,"Sausage, Egg & Cheese Biscuit",610,42,28,22,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Breakfast,Spicy Chicken Biscuit,430,21,43,17,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Desserts,Brownie,440,20,61,4,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Desserts,Chocolate Milkshake,600,23,90,13,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Desserts,Cookies & Cream Milkshake,570,26,81,14,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Desserts,Frosted Coffee,230,6,25,,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Desserts,Frosted Lemonade,320,6,65,6,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Desserts,Icedream,290,7,50,8,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Desserts,Icedream,170,4,31,5,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Desserts,Strawberry Milkshake,610,23,93,13,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Desserts,Vanilla Milkshake,550,23,75,13,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Condiments,Ketchup,10,0,3,0,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Condiments,Ketchup,25,0,7,0,0,0,0,0
2026-03-03,Chick-fil-A,659c29edc625af07f9dfe571,Every Day,Condiments,Mayonnaise,,,,,0,0,0,0
